latitude,longitude,name
39.52,-76.17,Aberdeen city
39.47,-76.13,Aberdeen Proving Ground
39.63,-79.32,Accident town
38.67,-77,Accokeek
39.31,-77.47,Adamstown
39,-76.96,Adelphi
38.59,-76.09,Algonquin
38.29,-75.69,Allen
38.81,-76.87,Andrews AFB
38.97,-76.5,Annapolis city
38.94,-76.5,Annapolis Neck
39.42,-77.74,Antietam
38.59,-76.71,Aquasco
39.24,-76.69,Arbutus
39.07,-76.6,Arden on the Severn
39.04,-76.5,Arnold
39.15,-77.01,Ashton-Sandy Spring
39.09,-77.08,Aspen Hill
38.67,-76.74,Baden
39.58,-77.61,Bagtown
39.51,-77.76,Bakersville
39.38,-77.42,Ballenger Creek
39.3,-76.61,Baltimore city
39.24,-76.64,Baltimore Highlands
39.14,-75.86,Barclay town
39.22,-77.38,Barnesville town
39.7,-78.84,Barrelville
39.53,-79.02,Barton town
39.39,-77.34,Bartonsville
39.58,-77.65,Beaver Creek
39.58,-78.86,Bel Air
39.55,-76.37,Bel Air North
39.51,-76.32,Bel Air South
39.53,-76.35,Bel Air town
39.04,-76.92,Beltsville
38.51,-76.68,Benedict
38.62,-77.01,Bensville
38.33,-75.22,Berlin town
38.99,-76.91,Berwyn Heights town
38.99,-77.12,Bethesda
39.36,-76.07,Betterton town
39.55,-78.87,Bier
39.63,-78.02,Big Pool
39.63,-77.94,Big Spring
38.44,-75.21,Bishopville
38.31,-75.88,Bivalve
38.94,-76.93,Bladensburg town
39.48,-79.08,Bloomington
39.51,-77.66,Boonsboro town
38.96,-76.74,Bowie city
39.31,-76.38,Bowleys Quarters
39.63,-78.81,Bowling Green
39.69,-78.75,Bowmans Addition
39.41,-77.5,Braddock Heights
38.7,-76.88,Brandywine
39.55,-77.72,Breathedsville
38.94,-76.96,Brentwood town
38.86,-76.75,Brock Hall
39.18,-77.06,Brookeville town
39.22,-76.62,Brooklyn Park
38.95,-77.13,Brookmont
38.57,-75.79,Brookview town
38.42,-76.55,Broomes Island
39.38,-77.66,Brownsville
39.32,-77.63,Brunswick city
38.61,-77.08,Bryans Road
38.55,-76.84,Bryantown
39.33,-77.43,Buckeystown
39.39,-77.63,Burkittsville town
39.12,-76.94,Burtonsville
39.28,-76.1,Butlertown
38.97,-77.16,Cabin John
38.3,-76.49,California
38.47,-76.49,Calvert Beach
39.06,-76.95,Calverton
38.56,-76.08,Cambridge city
38.81,-76.92,Camp Springs
39.04,-76.45,Cape St. Claire
38.88,-76.91,Capitol Heights town
39.62,-78.96,Carlos
39.41,-76.52,Carney
39.26,-76.74,Catonsville
39.64,-77.59,Cavetown
